strain	gisaid_epi_isl	genbank_accession	originating_lab	submitting_lab	author
hCoV-19/USA/MI-CDC-ASC210058977/2021	EPI_ISL_2146119	MZ280333.1	Aegis Sciences Corporation	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	Dakota Howard et al
hCoV-19/Ireland/D-NVRL-ec21IRL76348/2021	EPI_ISL_1502358		National Virus Reference Laboratory	National Virus Reference Laboratory	Zoe Yandle et al
hCoV-19/Luxembourg/LNS5057771/2021	EPI_ISL_3147473		Laboratoires Reunis	Laboratoire national de sante, Microbiology, Microbial Genomics Platform	Anke Wienecke-Baldacchino et al
hCoV-19/Poland/NIPH-NIH_ECDC-5005/2021	EPI_ISL_2230228		Laboratorium Badawczo-Rozwojowe Vitagenum	1. National Institute of Public Health - National Institute of Hygiene; 2. Eurofins Genomics Europe Sequencing GmbH	Wołkowicz Tomasz et al
hCoV-19/Mexico/CHH-LANGEBIO_IMSS_0842/2021	EPI_ISL_2671510		Centro de Investigacion Biomedica del Noreste (CIBIN)	Unidad de Genomica Avanzada	Consorcio Mexicano de Vigilancia Genomica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah et al
hCoV-19/Australia/NSW4306/2021	EPI_ISL_1098799		Area of Virology, Serology and Virology Division (SAViD), New South Wales Health Pathology Randwick	Virology Research Laboratory; Area of Virology, Serology and Virology Division (SAViD), New South Wales Health Pathology Randwick	Foster et al
hCoV-19/Venezuela/Bar7476/2021	EPI_ISL_3507374		Instituto Venezolano de Investigaciones Científicas	Laboratorio de Virología Molecular	Rossana C Jaspe et al
hCoV-19/Venezuela/Bar7126/2021	EPI_ISL_3507375		Instituto Venezolano de Investigaciones Científicas	Laboratorio de Virología Molecular	Rossana C Jaspe et al
hCoV-19/Venezuela/Ap5665/2021	EPI_ISL_3298684		IVIC	Laboratorio de Virología Molecular	Rossana C Jaspe et al
hCoV-19/Venezuela/Ap5496/2021	EPI_ISL_3298683		IVIC	Laboratorio de Virología Molecular	Rossana C Jaspe et al
hCoV-19/Pakistan/UHS2-Pak-31/2021	EPI_ISL_3484117		University of Health Sciences	Quadram Institute Bioscience	Shah Jahan et al
hCoV-19/Suriname/SR-254/2021	EPI_ISL_2502420		Central Laboratory, Bureau of Public Health (BOG) and Academic Hospital Paramaribo	Erasmus Medical Center	Bas B Oude Munnink et al
hCoV-19/Lithuania/LTU000_NMRVI_123450/2021	EPI_ISL_2694162		Nacionalinis maisto ir veterinarijos rizikos vertinimo institutas	National Public Health Surveillance Laboratory	Lukas Zemaitis et al
hCoV-19/Poland/NIPH-NIH_ECDC-6361/2021	EPI_ISL_2495058		Laboratorium Mikrobiologiczne RSS w Grudziądzu	1. National Institute of Public Health - National Institute of Hygiene; 2. Eurofins Genomics Europe Sequencing GmbH	Wołkowicz Tomasz et al
hCoV-19/Greece/156347/2021	EPI_ISL_2369656		Greek Genome Center, Biomedical Research Foundation of the Academy of Athens (BRFAA)	Greek Genome Center, Biomedical Research Foundation of the Academy of Athens (BRFAA)	Emmanouil Athanasiadis et al
hCoV-19/Andorra/AND-235_2118213857_GC/2021	EPI_ISL_3384894		Laboratori d'anàlisis clíniques, Hospital Nostra Senyora de Meritxell	LBM de CHU de Toulouse, Hôpitaux de Toulouse	M et al
hCoV-19/Kosovo/ChVir25780_4/2021	EPI_ISL_2833653		Department of Microbiology, National Institute for Public Health of Kosova	Charité Universitätsmedizin Berlin, Institut für Virologie	Victor M Corman et al
hCoV-19/Kosovo/ChVir25780_17/2021	EPI_ISL_2833663		Department of Microbiology, National Institute for Public Health of Kosova	Charité Universitätsmedizin Berlin, Institut für Virologie	Victor M Corman et al
hCoV-19/Australia/WA640/2021	EPI_ISL_1366740		PathWest Laboratory Medicine WA	PathWest Laboratory Medicine WA Microbial Surveillance Unit	PathWest Laboratory Medicine WA Microbial Surveillance Unit et al
hCoV-19/Sweden/SUS0002531/2021	EPI_ISL_3025822		Clinical Microbiology, Infection Prevention and Control	Section for Molecular Diagnostics	Björn Hallström et al
hCoV-19/Serbia/Cacak-3301900905/2021	EPI_ISL_3163956		Institute of Virology, Vaccines and Sera "Torlak"	Institute of microbiology and Immunology, Faculty of Medicine, University of Belgrade	Knezevic et al
hCoV-19/Montenegro/CO-00357_MNE000_2213722102/2021	EPI_ISL_3550694		Laboratory for Molecular Diagnostics, IPHMN	Eurofins Genomics Europe Sequencing GmbH	Danijela Vujošević et al
hCoV-19/Montenegro/CO-00357_MNE000_2279182102/2021	EPI_ISL_3556666		Laboratory for Molecular Diagnostics, IPHMN	Eurofins Genomics Europe Sequencing GmbH	Danijela Vujošević et al
hCoV-19/Guadeloupe/IPP11462/2021	EPI_ISL_2188321		Hospital	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Marion Barbet et al
hCoV-19/Georgia/Tb-SNGS178/2021	EPI_ISL_3208120		Department for Virology, Molecular Biology and Genome Research, R. G. Lugar Center for Public Health Research, National Center for Disease Control and Public Health (NCDC) of Georgia.	Department for Virology, Molecular Biology and Genome Research, R. G. Lugar Center for Public Health Research, National Center for Disease Control and Public Health (NCDC) of Georgia.	Meri Pantsulaia et al
hCoV-19/Andorra/AND-234_2118213839_GC/2021	EPI_ISL_3384887		Laboratori d'anàlisis clíniques, Hospital Nostra Senyora de Meritxell	LBM de CHU de Toulouse, Hôpitaux de Toulouse	M et al
hCoV-19/Lithuania/LTU000_NMRVI_120674/2021	EPI_ISL_2615211		Nacionalinis maisto ir veterinarijos rizikos vertinimo institutas	National Public Health Surveillance Laboratory	Lukas Zemaitis et al
hCoV-19/Belarus/HM-CRIE-L219T0015u/2021	EPI_ISL_3919644		Molecular diagnostic laboratory of Federal Budget Institution of Science "Central Research Institute of Epidemiology" of The Federal Service on Customers' Rights Protection and Human Well-being Surveillance	Group of Genomics and Postgenomic Technologies of Central Research Institute of Epidemiology	Samoilov A.E. et al
hCoV-19/Australia/SA0653/2021	EPI_ISL_1704792		SA Pathology	SA Pathology	Lex Leong et al
hCoV-19/Denmark/DCGC-116558/2021	EPI_ISL_2669589		Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark	Statens Serum Institut Bioinformatics and Microbial Genomics	Danish Covid-19 Genome Consortium et al
hCoV-19/Australia/NT150/2021	EPI_ISL_2321158		Royal Darwin Hospital Pathology	MDU-PHL	Meumann et al
hCoV-19/Switzerland/AG-ETHZ-610586/2021	EPI_ISL_2152031	OU169901.1	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Chaoran Chen et al
hCoV-19/Belgium/UGent-7317/2021	EPI_ISL_2861386		Lab voor klinische biologie	Lab voor klinische biologie	Marija Janevska et al
hCoV-19/Pakistan/UHS2-Pak-377/2021	EPI_ISL_3483875		University of Health Sciences	Quadram Institute Bioscience	Shah Jahan et al
hCoV-19/Switzerland/SO-UZH-IMV-3ba4b797/2021	EPI_ISL_2833686	OU383826.1	Gesundheitsamt SO	Institute of Medical Virology	Verena Kufner et al
hCoV-19/Latvia/2105047815/2021	EPI_ISL_2798675		Centrālā Laboratorija, SIA	Riga East University Hospital, National Microbiology Reference Laboratory; Eurofins Genomics Europe Sequencing GmbH	Stella Lapiņa et al
hCoV-19/Canada/AB-ABPHL-22326/2021	EPI_ISL_3116851		Edmonton Provincial Lab	Public Health Agency of Canada (PHAC) National Microbiology Laboratory	Buss et al
hCoV-19/Pakistan/UHS2-Pak-100/2021	EPI_ISL_3483959		University of Health Sciences	Quadram Institute Bioscience	Shah Jahan et al
hCoV-19/Georgia/Tb-SNGS398/2021	EPI_ISL_3804076		Department for Virology, Molecular Biology and Genome Research, R. G. Lugar Center for Public Health Research, National Center for Disease Control and Public Health (NCDC) of Georgia.	Department for Virology, Molecular Biology and Genome Research, R. G. Lugar Center for Public Health Research, National Center for Disease Control and Public Health (NCDC) of Georgia.	Giorgi Gogoladze et al
hCoV-19/Mexico/SON-InDRE_FB17175_S3088/2021	EPI_ISL_2663355		LESP Sonora	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	Claudia Wong-Arambula et al
hCoV-19/Mexico/NAY-InDRE_FB17385_S3480/2021	EPI_ISL_2778995		LESP Nayarit	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	Claudia Wong-Arambula et al
hCoV-19/Japan/PG-46972/2021	EPI_ISL_2331023		SARS-CoV-2 testing team, National Institute of Infectious Diseases	Pathogen Genomics Center, National Institute of Infectious Diseases	Tsuyoshi Sekizuka et al D
hCoV-19/Japan/PG-77756/2021	EPI_ISL_3888797		Pathogen Genomics Center, National Institute of Infectious Diseases	Pathogen Genomics Center, National Institute of Infectious Diseases	Tsuyoshi Sekizuka et al D
hCoV-19/Japan/PG-47054/2021	EPI_ISL_2331099		SARS-CoV-2 testing team, National Institute of Infectious Diseases	Pathogen Genomics Center, National Institute of Infectious Diseases	Tsuyoshi Sekizuka et al D
hCoV-19/Japan/PG-65052/2021	EPI_ISL_3183400		Kumamoto Prefectural Institute of Public-Health and Environmental Science	Kumamoto Prefectural Institute of Public-Health and Environmental Science	Mami Sato et al
hCoV-19/Japan/PG-58535/2021	EPI_ISL_3191339		Shimane Prefectural Institute of Public Health and Environmental Science	Shimane Prefectural Institute of Public Health and Environmental Science	Naoki Fujisawa et al
hCoV-19/Pakistan/UHS2-Pak-43/2021	EPI_ISL_3483806		University of Health Sciences	Quadram Institute Bioscience	Shah Jahan et al
hCoV-19/Moldova/S3331Nr1/2021	EPI_ISL_1385804		Alfa Diagnostica, Republic of Moldova	ONCOGENE LLC	ONCOGENE LLC et al
hCoV-19/Malta/MDxMDH484/2021	EPI_ISL_2718537		Molecular Diagnostics Pathology Department Mater Dei Hospital Malta	Molecular Diagnostics Pathology Department Mater Dei Hospital Malta	G Zahra et al
hCoV-19/Romania/BZ-17370/2021	EPI_ISL_3045826		Department of Public Health Buzau	National Institute of Infectious Diseases-Prof. Dr. Matei Bals Molecular Diagnostics Laboratory	Corina Casangiu et al
hCoV-19/Switzerland/VS-ICH-2210559415/2021	EPI_ISL_2420181	OU286201.1	Valais Hospital, Central Institute	Valais Hospital, Central Institute	Alexis Dumoulin et al
hCoV-19/Malta/MDxMDH476/2021	EPI_ISL_2716320		Molecular Diagnostics Pathology Department Mater Dei Hospital MAlta	Molecular Diagnostics Pathology Department Mater Dei Hospital MAlta	G Zahra et al
hCoV-19/Andorra/AND-234_2118213840_GC/2021	EPI_ISL_3384888		Laboratori d'anàlisis clíniques, Hospital Nostra Senyora de Meritxell	LBM de CHU de Toulouse, Hôpitaux de Toulouse	M et al
hCoV-19/Luxembourg/LNS6972006/2021	EPI_ISL_3145160		BioneXt Lab	Laboratoire national de sante, Microbiology, Microbial Genomics Platform	Anke Wienecke-Baldacchino et al
hCoV-19/Latvia/2105096144/2021	EPI_ISL_2799262		Centrālā Laboratorija, SIA	Riga East University Hospital, National Microbiology Reference Laboratory; Eurofins Genomics Europe Sequencing GmbH	Stella Lapiņa et al
hCoV-19/Ukraine/HZ4-60454/2021	EPI_ISL_2934573		SECP MHU	The Institute of Molecular Biology and Genetics of NASU	M.Tukalo et al.
hCoV-19/Spain/CL-COV04167/2021	EPI_ISL_2957495		SARS-CoV-2 Sequencing Castilla y Leon-Spain Consortium	SARS-CoV-2 Sequencing Castilla y Leon-Spain Consortium	Antonio Orduña-Domingo et al
hCoV-19/Bulgaria/21BG-NC_003511_R13/2021	EPI_ISL_2841994		National Center of Infectious and Parasitic Diseases	National Center of Infectious and Parasitic Diseases	Alexiev et al
hCoV-19/Bulgaria/21BG-EU_003014_Pl27/2021	EPI_ISL_2621443		National Center of Infectious and Parasitic Diseases	National Center of Infectious and Parasitic Diseases	Alexiev et al
hCoV-19/SintMaarten/SX-RIVM-38168/2021	EPI_ISL_2609633		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
hCoV-19/France/GP-HMN-21072050404/2021	EPI_ISL_2983917		Biopole Antilles	Department of Virology, Henri Mondor University Hospital, Assistance Publique Hôpitaux de Paris, Université Paris-Est Créteil, INSERM U955	Christophe Rodriguez et al
hCoV-19/SintMaarten/SX-RIVM-40517/2021	EPI_ISL_2673242		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
hCoV-19/Moldova/un-ChVir25018/2021	EPI_ISL_3446542		WHO/Country Office in the Republic of Moldova	Charité Universitätsmedizin Berlin, Institut für Virologie	Victor M Corman et al
hCoV-19/England/HSLL-1597A53/2021	EPI_ISL_2253382		Health Services Laboratories	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) Consortium	Health Services Laboratories et al
hCoV-19/Finland/7290/2021	EPI_ISL_3014551		Department of Virology and Immunology, University of Helsinki and Helsinki University Hospital, Huslab Finland	Department of Virology, Faculty of Medicine, University of Helsinki, Helsinki, Finland	Teemu Smura et al
hCoV-19/Japan/PG-57176/2021	EPI_ISL_2771449		SARS-CoV-2 testing team, National Institute of Infectious Diseases	Pathogen Genomics Center, National Institute of Infectious Diseases	Tsuyoshi Sekizuka et al D
hCoV-19/Japan/PG-72941/2021	EPI_ISL_3878823		SARS-CoV-2 testing team, National Institute of Infectious Diseases	Pathogen Genomics Center, National Institute of Infectious Diseases	Tsuyoshi Sekizuka et al D
hCoV-19/Japan/PG-80005/2021	EPI_ISL_3875007		Fukuoka Institute of Health and Environmental Sciences	Fukuoka Institute of Health and Environmental Sciences	Yoshiki Etoh et al
hCoV-19/Japan/PG-64974/2021	EPI_ISL_3183362		Department of Health Science, Gifu Prefectural Research Institute for Health and Environmental Sciences	Gifu Prefectural Research Institute for Health and Environmental Sciences	Yuta Uramoto et al
hCoV-19/NewZealand/21CH0030/2021	EPI_ISL_2406488		Canterbury Health Laboratories	Institute of Environmental Science and Research (ESR)	Paula scholes et al
hCoV-19/Japan/PG-70030/2021	EPI_ISL_3192283		Pathogen Genomics Center, National Institute of Infectious Diseases	Pathogen Genomics Center, National Institute of Infectious Diseases	Tsuyoshi Sekizuka et al D
hCoV-19/Estonia/RC0012414/2021	EPI_ISL_3665816		Synlab Eesti OÜ	1. Laboratory of Communicable Diseases (Estonia); 2. Eurofins Genomics Europe Sequencing GmbH	Liidia Dotsenko et al.
hCoV-19/USA/NM-CDC-LC0068093/2021	EPI_ISL_2482219	MZ372951.1	Laboratory Corporation of America	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	Dakota Howard et al
hCoV-19/Pakistan/UHS2-Pak-65/2021	EPI_ISL_3484101		University of Health Sciences	Quadram Institute Bioscience	Shah Jahan et al
hCoV-19/Vietnam/VN5903/2021	EPI_ISL_2455504		National Hospital for Tropical Diseases	Oxford University Clinical Research Unit, Hanoi, Vietnam	Pham Ngoc Thach et al
hCoV-19/Japan/PG-42947/2021	EPI_ISL_2337015		SARS-CoV-2 testing team, National Institute of Infectious Diseases	Pathogen Genomics Center, National Institute of Infectious Diseases	Tsuyoshi Sekizuka et al D
hCoV-19/Vietnam/VN5701/2021	EPI_ISL_2455493		National Hospital for Tropical Diseases	Oxford University Clinical Research Unit, Hanoi, Vietnam	Pham Ngoc Thach et al
hCoV-19/Australia/SA0205/2020	EPI_ISL_483072		SA Pathology	SA Pathology	Lex Leong et al
hCoV-19/Malaysia/TIDREC-64-Hu/2020	EPI_ISL_3429606		Tropical Infectious Diseases Research and Education Centre (TIDREC), Universiti Malaya, Kuala Lumpur, Malaysia	Tropical Infectious Diseases Research and Education Centre (TIDREC), Universiti Malaya, Kuala Lumpur, Malaysia	Kim-Kee Tan et al
hCoV-19/Bulgaria/21BG-NC_A000041/2020	EPI_ISL_2081908		National Center of Infectious and Parasitic Diseases	National Center of Infectious and Parasitic Diseases	Alexiev et al
hCoV-19/Honduras/324429/2021	EPI_ISL_2648245		Laboratorio Nacional de Vigilancia de la Salud – Sección de Virologia	Genomics and Proteomics Departament, Gorgas Memorial Institute For Health Studies	Mitzi Castro et al
hCoV-19/Mexico/CHP_LANGEBIO_IMSS_1829/2021	EPI_ISL_3568815		Laboratorio Central de Epidemiologia (LCE)	Unidad de Genomica Avanzada	Consorcio Mexicano de Vigilancia Genomica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah et al
hCoV-19/Mexico/TAM_INER_IMSS_1067/2021	EPI_ISL_2835921		Centro de Investigación Biomédica del Noreste (CIBIN)	Centro de Investigación en Enfermedades Infecciosas (CIENI), Instituto Nacional de Enfermedades Respiratorias (INER)	Consorcio Mexicano de Vigilancia Genómica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah et al
hCoV-19/Mexico/DUR-InDRE_FB17444_S3837/2021	EPI_ISL_2861170		LESP Durango	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	Claudia Wong-Arambula et al
hCoV-19/Mexico/TAM-INMEGEN-22-25/2021	EPI_ISL_3827106		Salud Digna	Instituto Nacional de Medicina Genomica	Cedro-Tanda A et al
hCoV-19/Guatemala/ASI04122/2021	EPI_ISL_3446725		Laboratorio Nacional de Salud	Asociación de Salud Integral/Clínica Familiar "Luis Ángel García"	Eduardo Arathoon et al
hCoV-19/Honduras/336319/2021	EPI_ISL_2650534		Laboratorio Nacional de Vigilancia de la Salud – Sección de Virologia	Genomics and Proteomics Departament, Gorgas Memorial Institute For Health Studies	Mitzi Castro et al
hCoV-19/Mexico/MOR_LANGEBIO_IMSS_1437/2021	EPI_ISL_3568777		Laboratorio Central de Epidemiologia (LCE)	Unidad de Genomica Avanzada	Consorcio Mexicano de Vigilancia Genomica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah et al
hCoV-19/HongKong/VM21027255/2021	EPI_ISL_2621675		HOME QUARANTINE TASKFORCE	Hong Kong Department of Health	Alan K.L. Tsang et al
hCoV-19/Guatemala/ASI4133/2021	EPI_ISL_3801286		Laboratorio Nacional de Salud	Asociación de Salud Integral / Clínica Familiar "Luis Ángel García"	Eduardo Arathon et al
hCoV-19/Guatemala/ASI4136/2021	EPI_ISL_3835373		Laboratorio Nacional de Salud	Asociación de Salud Integral / Clínica Familiar "Luis Ángel García"	Eduardo Arathon et al
hCoV-19/Mexico/COA-InDRE_FB17714_S4223/2021	EPI_ISL_2966417		LESP Coahuila	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	Claudia Wong-Arambula et al
hCoV-19/Guatemala/ASI4117/2021	EPI_ISL_3801285		Laboratorio Nacional de Salud	Asociación de Salud Integral / Clínica Familiar "Luis Ángel García"	Eduardo Arathon et al
hCoV-19/Guatemala/ASI4134/2021	EPI_ISL_3835372		Laboratorio Nacional de Salud	Asociación de Salud Integral / Clínica Familiar "Luis Ángel García"	Eduardo Arathon et al
hCoV-19/Guatemala/ASI4163/2021	EPI_ISL_3835387		Laboratorio Nacional de Salud	Asociación de Salud Integral / Clínica Familiar "Luis Ángel García"	Eduardo Arathon et al
hCoV-19/Mexico/DUR-InDRE-IBT-34067/NC/2020	EPI_ISL_3463610		Instituto de Diagnostico y Referencia Epidemiologicos InDRE_RNLSP	Instituto de Biotecnología de la UNAM	Authors from IBT et al
hCoV-19/Rwanda/NRLNAT1005/2020	EPI_ISL_735445		Rwanda National Reference Laboratory	GIGA Medical Genomics	Yvan Butera et al
hCoV-19/Rwanda/NRLNAT2009/2020	EPI_ISL_960228		Nucleic Acid Testing, National Reference Laboratory	GIGA Medical Genomics	Yvan Butera et al
hCoV-19/India/UN-763/2020	EPI_ISL_420543		National Influenza Center, Indian Council of Medical Research - National Institute of Virology	Indian Council of Medical Research-National Institute of Virology, Microbial Containment Complex	Pragya D. Yadav. Savita Patil et al (https://dx.doi.org/10.4103/ijmr.IJMR_1029_20)
hCoV-19/DRC/3661/2020	EPI_ISL_447233		Viral Respiratory Lab, National Institute for Biomedical Research (INRB)	Pathogen Sequencing Lab, National Institute for Biomedical Research (INRB)	Placide Mbala-Kingebeni et al B (https://virological.org/t/phylogenetic-analysis-of-sars-cov-2-in-drc/528)
hCoV-19/Ecuador/USFQ-113/2020	EPI_ISL_486848		Institute of Microbiology, Universidad San Francisco de Quito	Institute of Microbiology, Universidad San Francisco de Quito	Belén Prado-Vivar et al
hCoV-19/Ecuador/USFQ-539/2020	EPI_ISL_697800		Institute of Microbiology, Universidad San Francisco de Quito	Institute of Microbiology, Universidad San Francisco de Quito	Belén Prado-Vivar et al
hCoV-19/Maldives/MAV14489/2021	EPI_ISL_3452726		Indira Gandhi Memorial Hospital	Indira Gandhi Memorial Hospital	Dr. Milza Abdul Muhsin et al
hCoV-19/Maldives/MAV00499/2020	EPI_ISL_3275380		Indira Gandhi Memorial Hospital	Indira Gandhi Memorial Hospital	Dr. Milza Abdul Muhsin et al
hCoV-19/Maldives/MAV1497/2020	EPI_ISL_3275384		Indira Gandhi Memorial Hospital	Indira Gandhi Memorial Hospital	Dr. Milza Abdul Muhsin et al
hCoV-19/Maldives/MAV04808/2020	EPI_ISL_3275388		Indira Gandhi Memorial Hospital	Indira Gandhi Memorial Hospital	Dr. Milza Abdul Muhsin et al
hCoV-19/Maldives/MAV09481/2020	EPI_ISL_3275392		Indira Gandhi Memorial Hospital	Indira Gandhi Memorial Hospital	Dr. Milza Abdul Muhsin et al
hCoV-19/Maldives/MAV11950/2020	EPI_ISL_3452727		Indira Gandhi Memorial Hospital	Indira Gandhi Memorial Hospital	Dr. Milza Abdul Muhsin et al
hCoV-19/Denmark/SSI-02/2020	EPI_ISL_416143		Department of Virus and Microbiological Special diagnostics, Statens Serum Institut, Copenhagen, Denmark.	ViFU	Morten Rasmussen et al
hCoV-19/Spain/MD-IBV-004988/2020	EPI_ISL_481085		Hospital General Universitario Gregorio Marañón	SeqCOVID-SPAIN consortium/IBV(CSIC)	Laura Pérez-Lago et al
hCoV-19/Mexico/PUE-InDRE-05/2020	EPI_ISL_424672		Laboratorio Estatal de Salud Publica del Estado de Puebla	Instituto de Diagnostico y Referencia Epidemiologicos	Fabiola Garcés Ayala et al (https://dx.doi.org/10.1101/2020.05.27.120402)
hCoV-19/Senegal/6762/2020	EPI_ISL_486869		Institut Pasteur Dakar	Institut Pasteur de Dakar	Ndongo Dia et al
hCoV-19/France/PAC-IHUCOVID-0946/2020	EPI_ISL_900136		MEPHI, Aix Marseille University	MEPHI, Aix Marseille University	Anthony LEVASSEUR et al
hCoV-19/CzechRepublic/NRL-10720/2020	EPI_ISL_693669		The National Institute of Public Health	State Veterinary Institute Prague	Nagy et al
hCoV-19/Venezuela/17M/2020	EPI_ISL_1577752	MT907519.1	INHRR	Laboratorio de Virología Molecular	Loureiro CL et al
hCoV-19/Somalia/CV1173/2020	EPI_ISL_2107096		National Institute of Health (NIH) - Federal Government of Somalia	African Centre of Excellence for Genomics of Infectious Diseases (ACEGID), Redeemer’s University	Olawoye et al
hCoV-19/Latvia/046/2020	EPI_ISL_486430		Latvijas Infektoloģijas centrs	Latvian Biomedical Research and Study Centre	Ivars Silamiķelis et al
hCoV-19/Morocco/HMIMV-Rabat1025-04/2020	EPI_ISL_471457		Centre de Virologie des Maladies Tropicales	Functional Genomic Platform/Service Analyses Biologique/UATRS/ Centre National Pour la Recherche Scientifique Et Technique (CNRST)	Hicham EL ANNAZ et al
hCoV-19/Ireland/KE-NVRL-71IRL96341/2020	EPI_ISL_525380		National Virus Reference Laboratory	National Virus Reference Laboratory	Michael Carr et al
hCoV-19/Romania/SC08965/2021	EPI_ISL_1508848		Medical Genetics Laboratory, Regional Centre of Medical Genetics, Emergency County Hospital Craiova	Medical Genetics Laboratory, Regional Centre of Medical Genetics, Emergency County Hospital Craiova	Anca-Lelia (Riza) Costache et al
hCoV-19/Italy/CAM-TIGEM-6148/2021	EPI_ISL_1424147		Istituto Zooprofilattico Sperimentale del Mezzogiorno	TIGEM	Antonio Grimaldi et al
hCoV-19/Germany/NW-RKI-I-010244/2020	EPI_ISL_1140369		Labor ZOTZ|KLIMAS; MVZ Düsseldorf-Centrum	Robert Koch Institute	?
hCoV-19/Sweden/SE1410202183/2021	EPI_ISL_2408717		Swedish national genomic surveillance program of SARS-CoV-2	The Public Health Agency of Sweden	Maximilian Riess et al
hCoV-19/Iceland/6428/2020	EPI_ISL_830102	OU168808.1	The National University Hospital of Iceland	deCODE genetics	Daniel F Gudbjartsson et al B
hCoV-19/Croatia/HRV000_269/2021	EPI_ISL_1195729		Public Health Institute of Šibenik-Knin County	Croatian Institute of Public Health	Irena Tabain et al
hCoV-19/Sweden/SE00185264/2021	EPI_ISL_1290362		Swedish national genomic surveillance program of SARS-CoV-2	The Public Health Agency of Sweden	Swedish national genomic surveillance program of SARS-CoV-2 et al
hCoV-19/Slovenia/233322/2021	EPI_ISL_2492297		Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana	Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana	Alen Suljič et al
hCoV-19/Slovenia/291852/2021	EPI_ISL_3030114		Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana	Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana	Alen Suljič et al
hCoV-19/Poland/PL_RCNT_E17632/2020	EPI_ISL_3663691		Regional Science and Technology Center	Regional Science and Technology Center	Łukasz Madej et al
hCoV-19/Montenegro/ChVir23228/2021	EPI_ISL_1013606		Department for Molecular Diagnostics, Centre for Medical Microbiology, Institute of Public Health, Montenegro	Charité Universitätsmedizin Berlin, Institut für Virologie	Victor M Corman et al
hCoV-19/Slovakia/112860154M/2020	EPI_ISL_1280114		Department of Genetics, Medirex	Laboratory of Genomics and Bioinformatics, Comenius University Science Park	Tatiana Sedláčková et al
hCoV-19/Slovakia/CeMM3378/2020	EPI_ISL_1209254		Public Health Authority of the Slovak Republic	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences	Lukas Endler et al
hCoV-19/Kenya/NIC_187/2020	EPI_ISL_457833		National Public Health Laboratory	KEMRI-Wellcome Trust Research Programme/KEMRI-CGMR-C Kilifi	Githinji G. et al 2020 et al (https://virological.org/t/introduction-and-local-transmission-of-sars-cov-2-cases-in-kenya/497)
hCoV-19/Bolivia/26948/2020	EPI_ISL_837568		Centro Nacional de Enfermedades Tropicales (CENETROP)	Laboratory of Respiratory Viruses and Measles, Oswaldo Cruz Institute, FIOCRUZ	Paola Resende et al
hCoV-19/Bolivia/26955/2020	EPI_ISL_837573		Centro Nacional de Enfermedades Tropicales (CENETROP)	Laboratory of Respiratory Viruses and Measles, Oswaldo Cruz Institute, FIOCRUZ	Paola Resende et al
hCoV-19/Paraguay/33621/2020	EPI_ISL_1340758		Departamento de Virologia, Laboratorio Central de Salud Pública, Avenida Venezuela y Teniente Escurra, Asunción, Paraguay	Laboratory of Respiratory Viruses and Measles, Oswaldo Cruz Institute, FIOCRUZ	Paola Resende et al
hCoV-19/Bolivia/26940/2020	EPI_ISL_837561		Centro Nacional de Enfermedades Tropicales (CENETROP)	Laboratory of Respiratory Viruses and Measles, Oswaldo Cruz Institute, FIOCRUZ	Paola Resende et al
hCoV-19/Paraguay/REDE-PY2/2020	EPI_ISL_3586971		Laboratorio Central de Salud Publica de Paraguay	Fundação Ezequiel Dias	María José Ortega et al
hCoV-19/Andorra/202552/2020	EPI_ISL_539496		Hospital Nostra Senyora de Meritxell	Instituto de Salud Carlos III	Iglesias-Caballero et al
hCoV-19/Spain/CT-HUVH-59610/2020	EPI_ISL_819344		Hospital Universitari Vall d'Hebron - Vall d'Hebron Institut de Recerca	Hospital Universitari Vall d'Hebron - Vall d'Hebron Institut de Recerca	Cristina Andrés et al
hCoV-19/USA/FL-BPHL-0666/2020	EPI_ISL_509724	MT846428.1	Florida Bureau of Public Health Laboratories	Florida Bureau of Public Health Laboratories	Sarah Schmedes et al
